iteration,time,bestobj
779,7.65655,24939
780,7.66375,24939
781,7.67066,24939
782,7.67766,24939
783,7.68469,24939
784,7.69135,24939
785,7.69823,24939
786,7.70536,24939
787,7.71293,24939
788,7.72103,24939
789,7.72865,24939
790,7.73586,24939
791,7.74331,24939
792,7.75046,24939
793,7.75752,24939
794,7.76493,24939
795,7.77213,24939
796,7.77884,24939
797,7.78623,24939
798,7.79311,24939
799,7.80016,24939
800,7.80729,24939
801,7.81413,24939
802,7.82141,24939
803,7.82853,24939
804,7.83567,24939
805,7.84261,24939
806,7.84991,24939
807,7.85772,24939
808,7.86453,24939
809,7.87157,24939
810,7.87903,24939
811,7.88604,24939
812,7.89315,24939
813,7.90036,24939
814,7.90727,24939
815,7.91462,24939
816,7.92176,24939
817,7.92853,24939
818,7.93539,24939
819,7.94252,24939
820,7.94948,24939
821,7.95627,24939
822,7.9636,24939
823,7.97212,24939
824,7.97948,24939
825,7.98671,24939
826,7.9938,24939
827,8.00102,24939
828,8.00835,24939
829,8.01516,24939
830,8.02239,24939
831,8.02962,24939
832,8.03679,24939
833,8.044,24939
834,8.0511,24939
835,8.05802,24939
836,8.06492,24939
837,8.07213,24939
838,8.0793,24939
839,8.08659,24939
840,8.09391,24939
841,8.10079,24939
842,8.10852,24939
843,8.11579,24939
844,8.12267,24939
845,8.12969,24939
846,8.13667,24939
847,8.14359,24939
848,8.15057,24939
849,8.1576,24939
850,8.16455,24939
851,8.1716,24939
852,8.17854,24939
853,8.18544,24939
854,8.19236,24939
855,8.1992,24939
856,8.20604,24939
857,8.21521,24939
858,8.22291,24939
859,8.22972,24939
860,8.23713,24939
861,8.24462,24939
862,8.25157,24939
863,8.25864,24939
864,8.26579,24939
865,8.27308,24939
866,8.2802,24939
867,8.28757,24939
868,8.29434,24939
869,8.30147,24939
870,8.30858,24939
871,8.31555,24939
872,8.32261,24939
873,8.32966,24939
874,8.33663,24939
875,8.34345,24939
876,8.35037,24939
877,8.35755,24939
878,8.3644,24939
879,8.37127,24939
880,8.37808,24939
881,8.38479,24939
882,8.39167,24939
883,8.39839,24939
884,8.40518,24939
885,8.41227,24939
886,8.41913,24939
887,8.42598,24939
888,8.43269,24939
889,8.43972,24939
890,8.44666,24939
891,8.45343,24939
892,8.4602,24939
893,8.46696,24939
894,8.47369,24939
895,8.4807,24939
896,8.48757,24939
897,8.49426,24939
898,8.50115,24939
899,8.50813,24939
900,8.51486,24939
901,8.52175,24939
902,8.52848,24939
903,8.53549,24939
904,8.54227,24939
905,8.54918,24939
906,8.55718,24939
907,8.56428,24939
908,8.57123,24939
909,8.57817,24939
910,8.58521,24939
911,8.59194,24939
912,8.59896,24939
913,8.60577,24939
914,8.61269,24939
915,8.6196,24939
916,8.62649,24939
917,8.6332,24939
918,8.64053,24939
919,8.64734,24939
920,8.65417,24939
921,8.66131,24939
922,8.66806,24939
923,8.67507,24939
924,8.68192,24939
925,8.68887,24939
926,8.6958,24939
